,A,B,C,D
2000-01-01,-0.9168194324706977,-0.5735579415488663,-0.11756021819990509,0.26763066809822283
2000-01-02,-0.28442402238589104,-1.1683365831021464,0.05652382116478008,-0.6142891119657208
2000-01-03,-1.6206388712037012,-1.3098866102560531,0.2360702854720218,0.9338721802783978
2000-01-04,-3.174957388337531,-0.4537949581647577,0.6221495601345471,0.6807290452584587
2000-01-05,-3.0727088498779866,-1.4541781362769992,-0.033851524947297595,0.7850083158178528
2000-01-06,-4.858721967296419,-1.854882374847164,-1.43811924584084,1.121580882758483
2000-01-07,-6.212505094938031,-1.4199360897553115,-2.5190151293400493,0.71514160783736
2000-01-08,-5.355769180552472,-1.3558835683270352,-1.4876226839782376,-0.4112305793828346
2000-01-09,-5.426320512478291,-2.6141818978041695,0.4792292140092129,0.9543559747356132
2000-01-10,-5.38671795849188,-4.0086191266166775,-0.2701651783023171,0.5129569563583967
2000-01-11,-4.32061999681457,-3.3805340385859814,1.2365656452689606,0.36667181426220896
2000-01-12,-4.127719720646095,-4.7927462295337016,2.7608310076774636,0.48082965484694684
2000-01-13,-3.2848253377566436,-5.080584731546635,1.639160476770916,-0.09856108727237367
2000-01-14,-2.0915402376454315,-5.562961188456593,1.5552441043221832,-0.3778701726886908
2000-01-15,-2.939649028289292,-4.749569699168253,-0.17097010083264785,-0.49679833266800505
2000-01-16,-4.435950804325725,-4.243051904171145,-0.8139713587646663,-1.0353788660551413
2000-01-17,-3.5179052197530996,-3.179783924200356,0.04105702423844204,-1.1467862827523447
2000-01-18,-2.2393540191898134,-1.8553431696553766,-0.6554798796027369,-1.826527857688506
2000-01-19,-1.3983428434764076,-0.6239245199306962,-1.313299307918954,-2.014244405577495
2000-01-20,-2.2275175033249335,-1.7406018662581262,0.18243412475291532,-2.1498893495061617
2000-01-21,-0.7962692647996839,-1.6668390393493822,0.7702107382172023,-3.206570530694129
2000-01-22,-0.5777481865907205,-1.8299498590622985,0.35367298170888906,-3.4844782488499346
2000-01-23,-0.8479542082274192,-0.9889236612979996,0.6309941737299927,-2.0916864230897496
2000-01-24,0.6828999309627639,-1.018978039215212,-0.5476859960416287,-1.9051978086301589
2000-01-25,1.172012386229179,-2.05132065680008,-0.7178281931748436,-3.13901486454108
2000-01-26,1.850457673941519,0.07841714539143041,-1.3822125172837134,-4.683605641634403
2000-01-27,3.442414279733015,-0.8840283046787963,-1.7941654443830526,-6.6359268539225535
2000-01-28,4.877477094996435,0.35051650034718296,-3.2179776565827316,-7.137351356705242
2000-01-29,5.835998334427501,-0.5569495335004787,-3.083940795106943,-7.295558258696463
2000-01-30,5.130618346475904,0.6213075352196248,-2.6426070455350064,-7.012384334753177
2000-01-31,5.437605675805404,-0.020227544700720745,-1.7347000802316876,-8.685928985654144
2000-02-01,5.465771058245981,-0.1267376805232731,0.900076948574231,-8.318759987630601
2000-02-02,5.628628762146766,2.3446632956303914,0.9164393483940383,-7.571757410160281
2000-02-03,6.738776045087785,0.5814726904575231,2.26761483637043,-7.4663103466559075
2000-02-04,6.745267805448489,2.3845212142612286,3.8402137163129746,-7.106575279802601
2000-02-05,6.198481470066222,3.940504314293568,4.617058578034541,-7.796730572593757
2000-02-06,5.788516122706835,1.8000820931112962,2.413091663855657,-8.065551240921147
2000-02-07,5.494144708610742,0.8726363370448915,0.8261269316379651,-7.221341880859334
